Module Name,CentOS 7,Rocky Linux 8,Comments
gromacs/2021.2/gcc.8.4.0-cuda.10.1.243.openmpi.4.0.3,yes,yes,''
gromacs/2021.2/gcc.8.4.0-openmpi.4.0.3,yes,yes,''
gromacs/2022.1/gcc.8.4.0,,yes,New version
gromacs/2022.1/gcc.8.4.0-cuda.11.7.1,,yes,New version
gromacs/2022.1/gcc.8.4.0-cuda.11.7.1.openmpi.4.1.2,,yes,New version
gromacs/2022.1/gcc.8.4.0-openmpi.4.1.2,,yes,New version
gsl/2.6/gcc.8.4.0,yes,yes,''
gsl/2.7.1/gcc.11.2.0,,yes,New version
hclust2/1.0.0,yes,yes,''
hdf4/4.2.15,yes,yes,''
hdf5/1.10.5/gcc.4.8.5,yes,:red:`NO`,:red:`Use hdf5/1.10.5/gcc.system`
hdf5/1.10.5/gcc.system,,yes,New version
hdf5/1.10.5/gcc.4.8.5-openmpi.1.10.7,yes,:red:`NO`,:red:`Use hdf5/1.10.5/gcc.system-openmpi.4.1.1`
hdf5/1.10.5/gcc.system-openmpi.4.1.1,,yes,New version
hdf5/1.10.5/gcc.8.4.0,yes,yes,''
hdf5/1.10.5/gcc.8.4.0-openmpi.4.0.3,yes,yes,''
hdf5/1.10.5/intel.2020u1,yes,yes,''
hdf5/1.10.5/intel.2020u1-openmpi.4.0.3,yes,yes,''
hdf5/1.13.1/gcc.11.2.0,,yes,New version
hdf5/1.13.1/gcc.11.2.0-openmpi.4.1.2,,yes,New version
hdf5/1.13.1/gcc.system,,yes,New version
hdf5/1.13.1/gcc.system-openmpi.4.1.1,,yes,New version
hdf5/1.13.1/intel.2022.2,,yes,New version
hdf5/1.13.1/intel.2022.2-openmpi.4.1.2,,yes,New version
hisat2/2.2.1,yes,yes,''
hisat-genotype/1.3.2,yes,:red:`NO`,Unused
hmmer/3.3,yes,yes,''
htslib/1.10.2,yes,yes,''
htslib/1.15.1,,yes,New version
humann/3.0.1,yes,yes,''
icu/65.1,yes,yes,''
icu/70.1,,yes,New version
igv/2.8.9,yes,yes,''
igv/2.12.3,,yes,New version
imagemagick/7.0.10.26,yes,yes,''
imagemagick/7.1.0.30,,yes,New version
intel/2020u1,yes,yes,New version
intel/2022.2,,yes,New Version
intel-tbb/20190605,yes,yes,''
intel-tbb/2021.5.0,,yes,New version
ioapi/3.2/gcc.4.8.5,yes,:red:`NO`,Unused
ioapi/3.2/gcc.8.4.0,yes,:red:`NO`,Unused
ioapi/3.2/intel.2020u1,yes,yes,''
ioapi/3.2/gcc.11.2.0,,yes,New version
ioapi/3.2/intel.2022.2,,yes,New version
isal/2.30.0,,yes,New version
jags/4.3.0,yes,yes,''
java/1.7.0,yes,:red:`NO`,:red:`No longer provided by the OS`
java/1.8.0,yes,yes,''
java/11,yes,yes,''
